"","x"
"nacion",1842
"farc",1506
"paz",1364
"conflicto",1037
"seguridad",922
"política",918
"medida",908
"organizacion",904
"participación",834
"implementación",803
"social",786
"proceso",772
"persona",770
"mmv",752
"comunidad",730
"sistema",670
"mecanismo",661
"víctima",643
"fin",634
"integr",629
"político",618
"caso",608
"movimiento",592
"desarrollo",589
"jurisdicción",581
"mujer",576
"comisión",559
"marco",559
"humano",542
"información",540
"programa",530
"verdad",530
"garantía",528
"territorio",527
"conducta",523
"garantizar",521
"rural",521
"justicia",513
"construcción",494
"arma",488
"responsabilidad",488
"protección",487
"instancia",474
"cumplimiento",468
"internacion",466
"verificación",448
"actividad",435
"condicion",435
"uso",430
"establecido",429
"reconocimiento",423
"pública",421
"incluyendo",411
"cuenta",409
"zvtn",409
"reparación",402
"repetición",399
"cfhbd",394
"general",385
"ley",368
"anterior",360
"unidad",352
"autoridad",347
"amnistía",338
"seguimiento",338
"acordado",330
"procedimiento",330
"cultivo",328
"vida",328
"necesaria",325
"tierra",325
"partido",318
"contribuir",312
"delito",312
"población",309
"nivel",308
"libertad",307
"enfoqu",305
"compromiso",302
"ejercicio",297
"promoción",296
"deberá",292
"plan",290
"ejecución",288
"funcionamiento",288
"convivencia",287
"público",285
"podrá",283
"ilícito",282
"ciudadana",280
"penal",279
"monitoreo",278
"objeto",275
"civil",274
"mediant",274
"funcion",270
"promov",270
"diferent",267
"marcha",267
"nuevo",267
"respecto",266
"proyecto",265
"género",264
"efecto",262
"principio",262
"jurídica",259
"present",255
"criterio",253
"reincorporación",249
"inform",246
"mayor",242
"materia",239
"particular",239
"institucion",238
"recurso",237
"medio",235
"mismo",235
"desplazamiento",234
"tribun",234
"dejación",231
"hecho",231
"base",230
"legal",230
"sancion",228
"norma",226
"accion",224
"conform",224
"criminal",223
"fuerza",222
"investigación",219
"coordinación",218
"indulto",218
"deberán",216
"region",214
"dicha",213
"ilícita",213
"debe",212
"organización",210
"propósito",209
"droga",208
"control",207
"fortalecimiento",207
"técnica",207
"armado",206
"sociedad",206
"dentro",205
"lugar",205
"tratamiento",203
"riesgo",202
"sustitución",202
"objetivo",200
"asegurar",197
"respeto",197
"creación",196
"producción",196
"atención",193
"grave",190
"vez",190
"día",189
"firma",189
"reforma",189
"espacio",188
"necesidad",188
"territori",187
"violencia",186
"comunitaria",180
"trabajo",180
"tránsito",180
"colombia",179
"perjuicio",178
"apoyo",177
"campesina",177
"competencia",173
"definición",171
"según",169
"acompañamiento",168
"capacidad",166
"familiar",166
"aplicación",165
"colectiva",165
"efectiva",162
"pueblo",162
"órgano",161
"situación",160
"carácter",159
"directa",159
"resolución",159
"fortalec",158
"travé",158
"deben",157
"armamento",156
"representant",155
"ambient",154
"podrán",154
"problema",154
"correspondient",153
"solución",153
"duradera",152
"esclarecimiento",152
"colombiano",151
"economía",150
"hombr",150
"consejo",149
"establ",149
"técnico",149
"reconciliación",148
"acto",147
"sivjrnr",147
"surja",147
"ciudadano",144
"relación",144
"ello",143
"siempr",143
"grupo",141
"jep",141
"posibl",141
"facilitar",139
"hacer",139
"evaluación",138
"hostilidad",138
"misma",138
"participativa",138
"comunicación",136
"consumo",136
"competent",135
"conformidad",135
"ademá",134
"listado",134
"pnis",134
"violacion",134
"fuego",133
"garantizará",133
"año",132
"daño",132
"revisión",132
"sanción",132
"sección",132
"servicio",132
"término",132
"especial",131
"tener",131
"planeación",130
"sentencia",130
"territorial",130
"campamento",127
"situacion",127
"fuent",126
"prevención",126
"buen",125
"recomendacion",125
"bajo",124
