"","x"
"política",108
"participación",98
"movimiento",94
"social",88
"organizacion",79
"político",64
"nacion",57
"ciudadana",53
"partido",44
"sistema",43
"garantía",42
"mujer",42
"ejercicio",39
"promov",33
"paz",31
"medida",30
"mecanismo",29
"promoción",29
"marco",28
"elector",27
"espacio",27
"fin",27
"conflicto",26
"garantizar",24
"oposición",24
"proceso",23
"autoridad",22
"democracia",22
"instancia",22
"ciudadano",21
"construcción",21
"mayor",21
"público",21
"representación",21
"fortalec",20
"fortalecimiento",20
"pública",20
"seguridad",20
"cultura",19
"planeación",19
"comisión",18
"control",18
"medio",18
"respeto",18
"nivel",17
"nuevo",17
"actividad",16
"reconciliación",16
"democrática",15
"implementación",15
"participativa",15
"programa",15
"protesta",15
"seguimiento",15
"condicion",14
"movilización",14
"objetivo",14
"transparencia",14
"campaña",13
"electoral",13
"evaluación",13
"incluyendo",13
"integr",13
"sector",13
"cuenta",12
"farc",12
"interlocución",12
"protección",12
"requier",12
"asegurar",11
"base",11
"consejo",11
"convivencia",11
"diferent",11
"ejercen",11
"escenario",11
"humano",11
"institucion",11
"libertad",11
"particular",11
"persona",11
"valor",11
"capacidad",10
"comunidad",10
"desarrollo",10
"divulgación",10
"especialment",10
"general",10
"igualdad",10
"información",10
"institucional",10
"libr",10
"marcha",10
"present",10
"representant",10
"travé",10
"comunicación",9
"debe",9
"democrático",9
"diálogo",9
"firma",9
"lídere",9
"lideresa",9
"pluralismo",9
"poblacion",9
"territorio",9
"candidato",8
"carácter",8
"comunitario",8
"congreso",8
"creará",8
"cumplimiento",8
"estigmatización",8
"facilitar",8
"financiación",8
"funcionamiento",8
"hacer",8
"mediant",8
"organización",8
"region",8
"revisión",8
"surjan",8
"adicionalment",7
"afectada",7
"ajust",7
"canal",7
"candidata",7
"ciudadanía",7
"creación",7
"crear",7
"defensor",7
"defensora",7
"garantizará",7
"legal",7
"misión",7
"mismo",7
"pacífica",7
"plena",7
"prevención",7
"proyecto",7
"realizar",7
"rendición",7
"riesgo",7
"sociedad",7
"territorial",7
"vida",7
"abandono",6
"acompañamiento",6
"acordado",6
"asunto",6
"circunscripcion",6
"colombia",6
"conformación",6
"contará",6
"dentro",6
"departamental",6
"efectiva",6
"ejecución",6
"género",6
"inclusión",6
"inform",6
"jurídica",6
"liderazgo",6
"municipal",6
"necesaria",6
"normativo",6
"personería",6
"pluralista",6
"popular",6
"propuesta",6
"reconocimiento",6
"regional",6
"técnica",6
"tolerancia",6
"tránsito",6
"veeduría",6
"violencia",6
"vulner",6
"adoptar",5
"alerta",5
"ampliar",5
"atención",5
"aún",5
"avanzar",5
"contribuir",5
"deben",5
"decision",5
"delito",5
"difusión",5
"educación",5
"elección",5
"énfasi",5
"especial",5
"especializada",5
"expresión",5
"formación",5
"formulación",5
"gestión",5
"hombr",5
"interé",5
"justicia",5
"labor",5
"ley",5
"ofici",5
"participativo",5
"permita",5
"población",5
"pondrá",5
"práctica",5
"pueblo",5
"régimen",5
"representativo",5
"surja",5
"temprana",5
"tipo",5
"trabajo",5
"tratamiento",5
"víctima",5
"accion",4
"ademá",4
"agrupacion",4
"anterior",4
"apoyar",4
"apoyo",4
"asignación",4
"atenten",4
"bajo",4
"capacitación",4
"caso",4
"colectiva",4
"compromet",4
"comunitaria",4
"condición",4
"constitución",4
"contarán",4
"contenido",4
"corrupción",4
"criterio",4
"cultural",4
"dar",4
"debat",4
"deber",4
"deberán",4
"declaren",4
"departament",4
"desempeño",4
"diferencia",4
"discusión",4
"efectivo",4
"equilibrada",4
"específica",4
"establecerá",4
"étnica",4
"formal",4
"grupo",4
"important",4
"incluido",4
"insumo",4
"lineamiento",4
"luego",4
"masiva",4
"materia",4
"minoría",4
"monitoreo",4
"municip",4
"necesidad",4
"opinión",4
"participar",4
"perjuicio",4
"poder",4
"posibl",4
"presupuesto",4
"principio",4
"propósito",4
"puedan",4
"recomendacion",4
"recurso",4
"según",4
"transparent",4
"trata",4
"vocera",4
"vocero",4
"abrirá",3
"administración",3
"adoptarán",3
"afectado",3
"agenda",3
"alto",3
"ambiental",3
"amplia",3
"ampliación",3
"aquella",3
"articulación",3
"asesorar",3
"asistencia",3
"cámara",3
"campesina",3
"cargo",3
"centro",3
"compromiso",3
"concepto",3
"concurso",3
"consolidación",3
"consolidar",3
"contribuyan",3
"correspondient",3
"cumplir",3
"deberá",3
"defensa",3
"democratización",3
"denuncia",3
"departamento",3
"desplazada",3
"diferenci",3
"dignidad",3
"discriminación",3
"diseñar",3
"diseño",3
"efectividad",3
"ejerc",3
"elaboración",3
"eleccion",3
"elevar",3
"ello",3
"emisora",3
"enfrentan",3
"equitativa",3
"establecerán",3
"establecimiento",3
"estatuto",3
"existent",3
"fine",3
"fomentar",3
"fortalecerá",3
"funcion",3
"funcionaria",3
"funcionario",3
"garantic",3
"garantizando",3
"hará",3
